Time [s],PL [hPa],TL [C],PC [hPa],TC [C],PR [hPa],TR [C],EX [deg],EY [deg],EZ [deg],QW [-],QX [-],QY [-],QZ [-],MX [microT],MY [microT],MZ [microT],AXEarth [m/s2],AYEarth [m/s2],AZEarth [m/s2],RX [rad/s],RY [rad/s],RZ [rad/s],CSM,CSA,CSR,CSTOT
0,1000,23.53,998.32,23.53,999.86,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.75,-44.188,32.688,1.15,-2.25,-9.46,0.0022222,8.3068e-39,0,0,0,0,0
0.01,1000.1,23.53,997.62,23.53,999.88,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.75,-44.188,32.688,1.16,-2.27,-9.46,-0.0011111,-0.0033333,-0.0022222,0,0,0,0
0.02,1000.1,23.53,998.32,23.53,999.93,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.75,-44.188,32.688,1.14,-2.26,-9.45,0,0.0016667,0.0011111,0,0,0,0
0.031,1000.1,23.53,998.12,23.53,1000,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,17.688,-43.062,32.562,1.15,-2.27,-9.47,0,8.3068e-39,0,0,0,0,0
0.041,1000,23.53,997.42,23.53,999.85,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,17.688,-43.062,32.562,1.14,-2.27,-9.46,-0.0011111,1.3375e-38,0,0,0,0,0
0.051,1000.1,23.53,998.22,23.53,999.9,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,17.688,-43.062,32.562,1.16,-2.25,-9.47,0.0011111,-0.00055556,-0.0011111,0,0,0,0
0.062,1000,23.53,999.22,23.53,999.9,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,17.688,-43.062,32.562,1.12,-2.27,-9.44,0.0011111,1.3375e-38,0,0,0,0,0
0.072,1000.1,23.53,998.42,23.53,999.81,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,17.688,-43.062,32.562,1.15,-2.27,-9.44,0.0033333,8.3068e-39,0,0,0,0,0
0.082,1000,23.53,997.82,23.53,999.93,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.75,-43.062,32.688,1.15,-2.27,-9.45,-0.0011111,0.0011111,0.0011111,0,0,0,0
0.093,1000.1,23.53,996.62,23.53,999.85,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.75,-43.062,32.688,1.16,-2.24,-9.46,-0.0022222,-0.00083333,-0.0011111,0,0,0,0
0.103,1000.1,23.53,997.72,23.53,999.91,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.75,-43.062,32.688,1.15,-2.26,-9.46,0.0011111,-0.00048828,-0.0011111,0,0,0,0
0.114,1000,23.53,998.92,23.53,999.78,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.75,-43.062,32.688,1.14,-2.27,-9.47,0.0011111,-0.0022222,-0.0022222,0,0,0,0
0.124,1000.1,23.53,998.62,23.53,999.8,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.375,-43.5,31.562,1.13,-2.25,-9.47,0,1.6196e-39,0,0,0,0,0
0.135,1000,23.53,999.62,23.53,999.9,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.375,-43.5,31.562,1.15,-2.26,-9.49,0.0022222,-0.00048828,-0.0011111,0,0,0,0
0.145,1000,23.53,998.32,23.53,999.72,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.375,-43.5,31.562,1.15,-2.27,-9.44,0.0033333,-0.00048828,-0.0011111,0,0,0,0
0.155,1000,23.53,997.62,23.53,999.91,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.375,-43.5,31.562,1.15,-2.26,-9.47,0,0.0011111,0.0011111,0,0,0,0
0.165,1000,23.53,997.62,23.53,999.83,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,18.375,-43.5,31.562,1.14,-2.27,-9.44,0.0022222,1.6196e-39,0,0,0,0,0
0.175,1000,23.53,997.82,23.53,999.77,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,16.562,-43.75,31.5,1.14,-2.26,-9.46,0.0011111,-0.00055556,-0.0011111,0,0,0,0
0.186,1000,23.53,998.92,23.53,999.84,24.13,121.06,6.625,166.5,0.13025,-0.86322,-0.48767,0.0064697,16.562,-43.75,31.5,1.14,-2.26,-9.46,0.0011111,-0.0011111,-0.0011111,0,0,0,0
