Time [s],PL [hPa],TL [C],PC [hPa],TC [C],PR [hPa],TR [C],EX [deg],EY [deg],EZ [deg],QW [-],QX [-],QY [-],QZ [-],MX [microT],MY [microT],MZ [microT],AXEarth [m/s2],AYEarth [m/s2],AZEarth [m/s2],RX [rad/s],RY [rad/s],RZ [rad/s],CSM,CSA,CSR,CSTOT
0,1000.1,7.75,999.52,8.23,1000.1,9.01,89.688,10.812,172.94,0.10956,-0.70111,-0.70416,-0.023743,19.875,-12.688,-2.5,0.39,-1.15,-10.74,-0.03,-0.14333,-0.22333,0,0,0,0
0.01,1000.1,7.75,999.02,8.23,1000.1,9.01,89.562,10.75,172.94,0.1095,-0.70013,-0.70514,-0.02356,19.875,-12.688,-2.5,0.39,-1.15,-9.42,0.042222,-0.21333,-0.28222,0,0,0,0
0.02,1000.1,7.75,999.52,8.23,1000.1,9.01,89.625,10.938,172.94,0.11066,-0.70026,-0.70483,-0.024658,19.875,-12.688,-2.5,1.33,-1.09,-9.66,-0.0011111,0.083056,0.053333,0,0,0,0
0.03,1000.1,7.75,999.32,8.23,1000,9.01,89.625,11,172.94,0.11102,-0.7005,-0.70453,-0.025024,19.875,-12.688,-2.5,2.87,-1.1,-9.44,-0.0044444,0.10889,0.071111,0,0,0,0
0.04,1000,7.75,999.12,8.23,1000.1,9.01,89.688,10.875,172.94,0.11035,-0.70068,-0.70447,-0.024292,20.562,-13.5,-3.5,1.59,-1.13,-9.57,0,0.050556,0.051111,0,0,0,0
0.051,1000.1,7.75,999.32,8.23,999.93,9.01,89.688,10.812,172.94,0.10992,-0.70087,-0.70441,-0.023865,20.562,-13.5,-3.5,1.24,-1.19,-9.54,-0.0011111,0.12222,0.035556,0,0,0,0
0.061,1000.1,7.75,999.02,8.23,1000,9.01,89.75,10.812,172.94,0.10968,-0.70142,-0.70392,-0.023621,20.562,-13.5,-3.5,-0.76,-1.45,-9.77,-0.017778,0.23111,0.16,0,0,0,0
0.071,1000,7.75,999.42,8.23,1000.1,9.01,89.875,10.625,172.94,0.1087,-0.70233,-0.70312,-0.022827,20.562,-13.5,-3.5,1.17,-0.82,-10.02,-0.044444,0.25556,0.26333,0,0,0,0
0.081,1000.1,7.75,998.72,8.23,1000.1,9.01,89.938,10.438,172.94,0.10754,-0.70251,-0.70319,-0.021484,20.562,-13.5,-3.5,4.16,-1.1,-8.72,0.015556,0.091944,0.05,0,0,0,0
0.092,1000,7.75,999.32,8.23,1000.1,9.01,89.875,10.25,172.88,0.10663,-0.70221,-0.70367,-0.020386,21.25,-14,0.1875,-0.59,-1,-10.2,0.034444,-0.078056,-0.095556,0,0,0,0
